read_name	read_strand	read_start	read_seg_length	chr	chr_strand	chr_start	chr_seg_length	sample_id
merge231-3	1	22614	317	chr12	1	97160959	317	01-20985
merge200-5	-1	42217	56	chrX	1	75444637	56	01-20985
merge181-6	-1	45404	304	chr7	1	55857582	304	01-20985
merge222-5	1	39556	58	chr17	1	20791253	58	01-20985
merge195-5	1	48379	79	chr5	1	42576050	79	01-20985
merge236-5	1	29663	305	chr6	1	85316646	305	01-20985
merge233-5	-1	30197	68	chr4	1	83277951	68	01-20985
merge242-5	1	15627	61	chrX	1	5150895	61	01-20985
merge256-4	1	12867	58	chr1	1	60084291	58	01-20985
merge239-5	-1	27880	61	chr1	1	53772660	61	01-20985
merge259-4	-1	14933	288	chr2	1	57370363	288	01-20985
merge264-4	-1	24479	63	chr2	1	182515939	63	01-20985
merge244-3	1	27739	60	chr2	1	159325085	61	01-20985
merge260-4	-1	27909	92	chr1	1	12801770	92	01-20985
merge260-4	-1	27806	103	chr1	1	12801783	101	01-20985
merge260-4	1	16303	114	chr12	1	78931289	108	01-20985
merge243-5	-1	24856	88	chr2	1	44409091	89	01-20985
merge258-4	-1	19421	133	chr1	1	74500486	133	01-20985
merge263-4	1	36343	315	chr10	1	57293714	315	01-20985
merge232-5	-1	12299	128	chr18	1	30758425	127	01-20985
merge271-3	-1	27735	321	chr9	1	87439114	321	01-20985
merge266-3	1	17849	309	chr3	1	69313855	309	01-20985
merge261-4	-1	12908	309	chr1	1	116535559	309	01-20985
merge257-3	1	33077	57	chr12	1	7614915	57	01-20985
merge268-4	-1	28552	33	chr7	1	46504851	33	01-20985
merge285-4	1	14319	53	chr16	1	2442576	53	01-20985
merge277-4	1	27270	86	chr18	1	65522890	90	01-20985
merge262-3	-1	6706	311	chr7	1	30495985	311	01-20985
merge254-5	1	52631	53	chr9	1	35653587	53	01-20985
merge296-4	1	8122	59	chr12	1	6092617	59	01-20985
merge282-4	1	22861	115	chr8	1	102928363	115	01-20985
merge267-4	-1	27325	63	chr10	1	126248653	63	01-20985
merge298-3	-1	5500	61	chr7	1	31794024	61	01-20985
merge297-4	1	3778	69	chr13	1	61070073	69	01-20985
merge300-4	-1	18548	135	chrY	1	11966647	148	01-20985
merge248-5	-1	28765	77	chr7	1	76036710	77	01-20985
merge248-5	1	37241	38	chr7	1	76035274	38	01-20985
merge302-4	1	2028	308	chr6	1	20765149	308	01-20985
merge283-4	1	40031	317	chr7	1	128796721	320	01-20985
merge305-3	-1	1797	40	chr1	1	9523506	40	01-20985
merge305-3	1	21046	332	chr15	1	38095444	332	01-20985
merge287-4	-1	15483	124	chr4	1	84635592	123	01-20985
merge295-4	-1	14815	32	chr22	1	37805257	32	01-20985
merge295-4	-1	14734	81	chr20	1	10034875	81	01-20985
merge295-4	-1	14138	573	chr12	1	119919153	573	01-20985
merge303-4	-1	19020	312	chr6	1	21192006	312	01-20985
merge293-4	1	11654	310	chr3	1	176132928	309	01-20985
merge288-4	1	32239	125	chr11	1	69206548	125	01-20985
merge309-4	1	36793	93	chr1	1	203770472	93	01-20985
merge311-4	-1	28099	187	chrX	1	40557271	187	01-20985
merge301-4	-1	17234	309	chr9	1	6752052	309	01-20985
merge324-4	-1	8514	311	chr9	1	200131	311	01-20985
merge318-4	1	18377	64	chr16	1	4145051	64	01-20985
merge274-3	1	6843	227	chr10	1	112254087	227	01-20985
merge304-4	-1	28430	334	chr15	1	38095443	333	01-20985
merge304-4	1	15318	54	chr1	1	9523506	54	01-20985
merge252-5	-1	41006	306	chr4	1	180628282	306	01-20985
merge253-4	-1	27312	297	chr4	1	176948179	297	01-20985
merge319-4	1	23596	95	chr2	1	43515201	97	01-20985
merge319-4	-1	18683	95	chr5	1	43043814	90	01-20985
merge319-4	-1	18617	66	chr2	1	108415484	66	01-20985
merge320-4	-1	13858	121	chr11	1	23888268	121	01-20985
merge328-4	1	5803	329	chr10	1	102885501	329	01-20985
merge313-4	-1	45099	306	chr4	1	147343013	306	01-20985
merge335-3	1	15020	30	chr16	1	25416121	30	01-20985
merge335-3	1	15050	313	chr5	1	14308337	312	01-20985
merge335-3	1	54373	288	chr5	1	14347035	279	01-20985
merge335-3	1	54665	386	chr5	1	14347012	379	01-20985
merge335-3	1	55064	299	chr5	1	14347044	296	01-20985
merge339-4	1	21075	282	chr4	1	64213990	282	01-20985
merge343-4	-1	40421	47	chr1	1	192002730	49	01-20985
merge330-4	-1	40487	314	chr20	1	15000341	314	01-20985
merge323-3	1	10387	55	chr4	1	60705137	55	01-20985
merge345-3	-1	25982	66	chr13	1	90021940	66	01-20985
merge342-3	-1	13865	44	chr9	1	15061335	44	01-20985
merge342-3	-1	0	322	chr4	1	52260833	302	01-20985
merge333-4	-1	36134	77	chr15	1	38795270	78	01-20985
merge350-3	-1	7224	106	chr9	1	73054757	106	01-20985
merge346-4	1	30298	322	chr15	1	59420697	322	01-20985
merge322-3	-1	12287	306	chr4	1	10610040	303	01-20985
merge360-3	-1	17914	323	chr4	1	166186954	323	01-20985
merge357-3	-1	13202	69	chr3	1	3562368	68	01-20985
merge354-3	-1	46924	56	chr6	1	125636554	56	01-20985
merge361-3	-1	15934	329	chr5	1	81886674	329	01-20985
merge349-4	1	15032	324	chr18	1	71179503	324	01-20985
merge347-4	1	51188	318	chr10	1	97348533	318	01-20985
merge352-4	1	38651	311	chr4	1	94577821	311	01-20985
merge372-4	1	19217	55	chr7	1	134199978	55	01-20985
merge368-4	-1	8299	58	chr5	1	117097864	58	01-20985
merge369-3	-1	5428	52	chr5	1	117097864	52	01-20985
merge373-4	-1	19692	45	chrX	1	150583552	47	01-20985
merge373-4	1	16420	235	chr1	1	73971778	212	01-20985
merge364-3	-1	29064	309	chr15	1	29493123	309	01-20985
merge371-4	1	9261	321	chr5	1	92184965	321	01-20985
merge379-3	1	9675	88	chr1	1	57781086	88	01-20985
merge292-4	-1	38592	77	chrX	1	50618275	77	01-20985
merge363-4	-1	13071	309	chr11	1	95957415	309	01-20985
merge366-4	1	21063	87	chr5	1	94362525	87	01-20985
merge378-3	1	22750	54	chr11	1	74077798	54	01-20985
merge381-3	1	40900	234	chr1	1	81222201	234	01-20985
merge348-4	1	17434	34	chr13	1	112341574	34	01-20985
merge348-4	-1	32494	80	chr11	1	9675348	74	01-20985
merge383-3	-1	27086	304	chr2	1	159663850	304	01-20985
merge384-3	1	12185	318	chr1	1	143923280	316	01-20985
merge380-3	-1	35101	97	chr19	1	42663233	97	01-20985
merge388-3	1	11423	99	chr19	1	33757387	99	01-20985
merge382-3	-1	28038	47	chr17	1	62862727	47	01-20985
merge370-4	1	7554	172	chr6	1	113605763	172	01-20985
merge365-3	1	18057	329	chr10	1	102885499	329	01-20985
merge359-3	1	34984	306	chr11	1	103459670	306	01-20985
merge391-3	1	26507	211	chr5	1	55105975	206	01-20985
merge392-3	-1	33846	67	chr3	1	65193953	67	01-20985
merge358-4	-1	34080	316	chr18	1	39481682	316	01-20985
merge404-3	1	19138	298	chr11	1	61340333	298	01-20985
merge374-3	1	16933	77	chr3	1	140490014	77	01-20985
merge396-3	1	22466	330	chr3	1	90303795	330	01-20985
merge401-3	1	15538	60	chrX	1	114694443	60	01-20985
merge389-3	-1	36821	43	chr1	1	204208458	43	01-20985
merge409-3	-1	11930	285	chr1	1	81300478	285	01-20985
merge412-3	1	15971	306	chr12	1	129356150	306	01-20985
merge377-3	1	40076	319	chr1	1	228679075	319	01-20985
merge351-4	-1	37459	307	chr8	1	103091607	307	01-20985
merge408-3	1	7606	31	chr12	1	105038269	31	01-20985
merge400-3	1	54758	55	chr9	1	102469599	55	01-20985
merge402-3	-1	14581	190	chr19	1	56344741	190	01-20985
merge385-3	-1	59649	74	chr2	1	63722571	75	01-20985
merge403-3	-1	6802	30	chr1	1	98202701	30	01-20985
merge418-3	1	20212	146	chr2	1	35955835	152	01-20985
merge418-3	1	20358	237	chr2	1	35956017	239	01-20985
merge418-3	1	20602	85	chr15	1	25430092	103	01-20985
merge418-3	1	20687	149	chr2	1	35956263	151	01-20985
merge398-3	1	20058	51	chr5	1	85374929	51	01-20985
merge419-3	-1	26732	102	chr5	1	9384559	99	01-20985
merge425-3	-1	6386	49	chr1	1	171174946	49	01-20985
merge416-3	1	23660	61	chr4	1	61847588	61	01-20985
merge424-3	1	19565	74	chr11	1	90271146	74	01-20985
merge426-3	-1	6300	32	chr4	1	41783389	32	01-20985
merge411-3	1	12510	81	chr6	1	158803572	81	01-20985
merge433-3	1	19207	173	chr11	1	81845181	173	01-20985
merge393-3	-1	6858	71	chr9	1	85828467	71	01-20985
merge427-3	-1	11730	37	chr20	1	46532132	37	01-20985
merge421-3	-1	45610	93	chr3	1	175667141	95	01-20985
merge410-3	1	25937	59	chr1	1	239278351	59	01-20985
merge432-3	1	80606	303	chr13	1	67618126	303	01-20985
merge441-3	1	6292	159	chr6	1	135935015	157	01-20985
merge441-3	-1	20625	72	chr17	1	7571847	72	01-20985
merge437-3	-1	11126	26	chr1	1	62106081	26	01-20985
merge306-3	1	59560	58	chr3	1	91353615	58	01-20985
merge306-3	1	59618	340	chr15	1	38095436	340	01-20985
merge439-3	1	15675	53	chr12	1	25619214	53	01-20985
merge438-3	1	10762	55	chr5	1	147840579	55	01-20985
merge415-3	1	24759	166	chr15	1	81163063	167	01-20985
merge436-3	1	23330	49	chr6	1	51343218	49	01-20985
merge442-3	1	3005	95	chr3	1	13614918	95	01-20985
merge406-3	-1	21556	32	chr5	1	108845025	32	01-20985
merge429-3	1	25493	111	chr1	1	174349889	112	01-20985
merge386-3	1	54107	95	chr6	1	63432090	93	01-20985
merge422-3	1	3414	305	chr10	1	54757275	305	01-20985
merge449-3	-1	11190	77	chr4	1	91999044	77	01-20985
merge449-3	1	23557	307	chr2	1	15097946	317	01-20985
merge449-3	1	23877	154	chr2	1	15098348	150	01-20985
merge460-3	1	12161	289	chr2	1	225939906	289	01-20985
merge453-3	-1	18975	85	chr2	1	66824005	85	01-20985
merge458-3	-1	21302	40	chr2	1	185504878	39	01-20985
merge440-3	-1	20790	301	chr10	1	4592619	301	01-20985
merge450-3	-1	12575	309	chr3	1	103829077	309	01-20985
merge466-3	-1	17117	28	chr19	1	11569441	28	01-20985
merge445-3	1	16698	82	chrX	1	23972019	80	01-20985
merge444-3	1	13434	78	chrX	1	23972019	78	01-20985
merge444-3	-1	7534	52	chr8	1	41473785	52	01-20985
merge459-3	-1	15365	236	chr14	1	97728906	237	01-20985
merge471-3	-1	3201	96	chr7	1	90208352	96	01-20985
merge470-3	-1	15614	51	chr16	1	8344584	48	01-20985
merge474-3	1	9810	60	chr1	1	38911602	60	01-20985
merge435-3	1	39284	68	chr5	1	82501113	68	01-20985
merge477-3	-1	4496	40	chr19	1	11418221	41	01-20985
merge476-3	1	16599	110	chr1	1	10187925	111	01-20985
merge472-3	-1	28396	320	chr16	1	16836492	320	01-20985
merge452-3	-1	25291	46	chr13	1	89804569	46	01-20985
merge462-3	1	11754	294	chr15	1	29600902	294	01-20985
merge479-3	-1	6937	262	chr2	1	99966461	262	01-20985
merge468-3	-1	49664	98	chr19	1	42663637	95	01-20985
merge485-3	-1	12538	55	chr11	1	68219279	55	01-20985
merge485-3	1	4632	119	chr9	1	121826461	121	01-20985
merge486-3	-1	18147	39	chr14	1	93159486	39	01-20985
merge483-3	1	10936	308	chr7	1	47109606	308	01-20985
merge478-3	-1	23538	186	chr2	1	41747036	186	01-20985
merge493-3	-1	4494	303	chr9	1	79110861	306	01-20985
merge461-3	1	9712	65	chr9	1	116803481	65	01-20985
merge469-3	1	14319	224	chr10	1	92376506	224	01-20985
merge497-3	-1	28774	55	chr5	1	119042369	55	01-20985
merge502-3	1	13787	326	chr7	1	38473420	326	01-20985
merge484-3	1	6757	95	chr8	1	26529233	97	01-20985
merge482-3	-1	30671	58	chrX	1	8787339	58	01-20985
merge504-3	1	11859	88	chr8	1	79171705	98	01-20985
merge498-3	-1	4580	28	chr14	1	65611186	28	01-20985
merge501-3	1	18020	266	chr14	1	92911473	267	01-20985
merge487-3	1	35749	92	chr15	1	56669874	85	01-20985
merge487-3	1	35846	37	chr3	1	105983001	37	01-20985
merge480-3	1	29604	269	chr11	1	61340330	269	01-20985
merge508-3	1	13575	108	chr2	1	18243063	108	01-20985
merge512-3	1	18818	151	chr21	1	35052567	150	01-20985
merge473-3	1	20826	117	chr8	1	142085407	109	01-20985
merge515-3	-1	4122	58	chr7	1	38720480	58	01-20985
merge503-3	-1	32526	44	chr12	1	98048993	44	01-20985
merge503-3	1	2781	72	chr4	1	155031681	72	01-20985
merge503-3	-1	30580	340	chr2	1	202132769	332	01-20985
merge503-3	1	3194	72	chr5	1	96954622	71	01-20985
merge518-3	-1	5393	311	chr3	1	26843350	311	01-20985
merge491-3	1	40598	78	chr2	1	220121293	78	01-20985
merge511-3	1	16867	56	chr21	1	23891098	56	01-20985
merge517-3	-1	19635	187	chr4	1	88116551	187	01-20985
merge510-3	1	8125	80	chr9	1	39410295	80	01-20985
merge496-3	1	10187	317	chr21	1	40817813	317	01-20985
merge509-3	-1	6420	257	chrX	1	106474076	257	01-20985
merge519-3	-1	11773	63	chr7	1	107065313	63	01-20985
merge513-3	-1	17060	51	chr20	1	6688897	51	01-20985
merge481-3	-1	3988	59	chr1	1	119135715	61	01-20985
merge527-3	-1	14067	315	chr17	1	17040604	314	01-20985
merge530-3	-1	12339	152	chr6	1	165958591	156	01-20985
merge529-3	-1	20505	325	chr5	1	25314516	325	01-20985
merge531-3	1	19429	85	chr8	1	33380176	83	01-20985
merge492-3	1	12088	58	chr5	1	6414116	58	01-20985
merge526-3	1	24509	310	chr6	1	9494455	309	01-20985
merge500-3	-1	10833	50	chr2	1	117804192	52	01-20985
merge528-3	-1	23620	320	chr6	1	85434592	320	01-20985
merge516-3	-1	24861	316	chr2	1	20598543	315	01-20985
merge489-3	-1	36162	69	chr8	1	37706484	69	01-20985
merge524-3	-1	17200	309	chr8	1	115476010	309	01-20985
merge18-14	1	36476	310	chr15	1	83105130	310	07-11855
merge18-14	1	51771	179	chr20	1	15547960	172	07-11855
merge21-14	1	50808	111	chr2	1	136890304	111	07-11855
merge10-16	1	34291	157	chr5	1	180379913	157	07-11855
merge10-16	-1	34062	99	chr7	1	136313943	99	07-11855
merge10-16	1	34547	136	chr8	1	111278539	136	07-11855
merge10-16	-1	33827	99	chr21	1	9727686	99	07-11855
merge10-16	-1	33643	184	chr5	1	62127760	184	07-11855
merge6-3	1	13860	49	chr10	1	37451870	49	07-11855
merge2-21	-1	22998	304	chr3	1	131958995	304	07-11855
merge3-20	-1	40087	327	chr4	1	185443925	327	07-11855
merge4-5	1	34429	294	chr5	1	152816050	294	07-11855
merge37-3	-1	19208	123	chr6	1	127787803	116	07-11855
merge29-4	1	14296	299	chrX	1	86901005	299	07-11855
merge24-13	-1	27304	293	chr1	1	112190647	293	07-11855
merge28-13	1	24653	303	chr4	1	110841093	303	07-11855
merge14-15	-1	15525	147	chr10	1	68584173	149	07-11855
merge45-3	1	13276	130	chr12	1	44280789	130	07-11855
merge45-3	1	13406	311	chr18	1	30868829	311	07-11855
merge44-11	-1	35094	301	chr1	1	66338736	301	07-11855
merge44-11	-1	34964	130	chr12	1	44280789	130	07-11855
merge48-11	1	30911	487	chrY	1	3449077	487	07-11855
merge48-11	-1	35012	44	chr11	1	7233325	47	07-11855
merge30-12	-1	8	90	chr1	1	69843325	92	07-11855
merge56-3	-1	6558	314	chr9	1	22999505	313	07-11855
merge53-11	1	27811	85	chr16	1	69292352	78	07-11855
merge51-11	1	36655	55	chrX	1	110124137	55	07-11855
merge59-11	-1	14581	73	chrM	1	14958	73	07-11855
merge69-10	1	34509	274	chr12	1	27281072	274	07-11855
merge73-3	-1	12922	330	chr14	1	78361902	330	07-11855
merge71-10	-1	32494	338	chr16	1	81085874	338	07-11855
merge76-3	1	5383	305	chr1	1	111229400	305	07-11855
merge70-9	-1	27750	268	chr6	1	103917707	268	07-11855
merge78-3	1	2574	316	chrX	1	121195394	318	07-11855
merge68-10	1	37995	313	chr2	1	201082699	313	07-11855
merge77-10	1	31194	319	chrX	1	121195394	321	07-11855
merge82-10	-1	41136	63	chr8	1	67849630	63	07-11855
merge90-4	1	24370	214	chr9	1	110701692	214	07-11855
merge79-10	-1	23171	312	chr2	1	5069058	310	07-11855
merge88-9	-1	26801	103	chr20	1	17081241	100	07-11855
merge66-10	1	12563	30	chr9	1	35334753	30	07-11855
merge66-10	1	12593	201	chr10	1	96117824	201	07-11855
merge85-9	-1	25017	329	chr10	1	19108387	329	07-11855
merge97-3	-1	13447	280	chr16	1	16840515	280	07-11855
merge67-10	-1	41698	214	chr13	1	22575002	214	07-11855
merge113-3	1	13446	85	chr16	1	2404795	85	07-11855
merge114-4	1	15695	84	chr20	1	2077587	84	07-11855
merge75-10	-1	41857	302	chr1	1	202341296	302	07-11855
merge104-3	1	22999	310	chr3	1	101934800	310	07-11855
merge112-3	-1	6189	76	chr2	1	44409094	76	07-11855
merge111-4	-1	9519	92	chr2	1	44409089	93	07-11855
merge98-9	-1	12459	61	chr3	1	149766819	61	07-11855
merge123-8	-1	33855	313	chr6	1	23300143	313	07-11855
merge126-8	1	20164	314	chr11	1	93243182	314	07-11855
merge128-4	1	30852	330	chr12	1	96152655	330	07-11855
merge128-4	1	31182	471	chr7	1	11839573	470	07-11855
merge128-4	1	31653	58	chr12	1	63751146	58	07-11855
merge103-9	1	32185	306	chr4	1	99149146	306	07-11855
merge101-9	1	19425	25	chr19	1	14249474	25	07-11855
merge110-8	-1	21126	57	chr3	1	89654920	57	07-11855
merge117-3	1	6985	100	chr16	1	78574999	97	07-11855
merge142-3	1	2619	64	chr1	1	63787436	63	07-11855
merge115-4	1	19167	100	chr7	1	23231840	100	07-11855
merge141-4	1	9546	60	chr4	1	126469115	60	07-11855
merge130-8	-1	51381	33	chr8	1	24183565	33	07-11855
merge134-5	1	20100	210	chr3	1	961193	214	07-11855
merge134-5	1	20310	84	chr20	1	23561015	84	07-11855
merge134-5	1	20395	170	chr16	1	61425784	170	07-11855
merge135-8	1	29247	207	chr18	1	65867128	207	07-11855
merge120-3	-1	8424	74	chr3	1	152023075	74	07-11855
merge149-4	1	19718	82	chr5	1	45855309	82	07-11855
merge149-4	1	19800	249	chr3	1	194893742	247	07-11855
merge153-3	1	23816	78	chr11	1	85583087	78	07-11855
merge154-8	1	28274	85	chr5	1	7372535	85	07-11855
merge154-8	1	28359	334	chr5	1	7371540	335	07-11855
merge154-8	1	28693	71	chr5	1	7371442	74	07-11855
merge154-8	-1	20830	153	chr17	1	66799183	150	07-11855
merge143-8	1	0	393	chr2	1	148808000	387	07-11855
merge143-8	-1	42599	39	chr20	1	55549436	39	07-11855
merge143-8	1	432	42	chr9	1	21633959	42	07-11855
merge143-8	1	16542	66	chr21	1	37987475	66	07-11855
merge160-7	1	36659	74	chr1	1	104870424	76	07-11855
merge160-7	-1	18331	359	chr4	1	167205160	336	07-11855
merge160-7	1	37094	44	chr7	1	49982138	42	07-11855
merge133-8	-1	22054	136	chr3	1	114247846	136	07-11855
merge148-8	1	19517	78	chr4	1	160916380	78	07-11855
merge148-8	1	19595	252	chr3	1	194893740	253	07-11855
merge145-3	-1	25284	26	chr2	1	75026555	26	07-11855
merge144-8	-1	17575	28	chr4	1	87052684	28	07-11855
merge127-8	-1	21556	319	chr6	1	108585022	319	07-11855
merge152-7	-1	35038	275	chr17	1	33712635	275	07-11855
merge174-4	-1	25733	313	chr13	1	63082059	313	07-11855
merge140-4	-1	27179	89	chr7	1	90621613	89	07-11855
merge162-7	1	34210	326	chr11	1	103954879	326	07-11855
merge176-3	-1	1993	269	chr13	1	63082101	269	07-11855
merge173-4	-1	19748	190	chr20	1	55888173	190	07-11855
merge155-8	1	29301	323	chr7	1	104974763	323	07-11855
merge181-7	-1	25064	312	chrX	1	11078304	312	07-11855
merge139-8	-1	26010	60	chr2	1	135698992	60	07-11855
